target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-15,1.0299682617187501e-07,86,82,8,2,0.9534883720930233,9.985261379856013e-16,
1e-15,6.062909960746764e-10,86,84,8,1,0.9767441860465116,9.99841326250092e-16,
1e-15,1e-15,86,86,8,0,1.0,1e-15,no_fec
1e-12,0.006609375000000001,86,40,8,23,0.46511627906976744,9.82835317461328e-13,
1e-12,0.0059921875,86,42,8,22,0.4883720930232558,9.861625738596972e-13,
1e-12,0.0053984375,86,44,8,21,0.5116279069767442,9.778748306483837e-13,
1e-12,0.004835937500000001,86,46,8,20,0.5348837209302325,9.830325071457517e-13,
1e-12,0.004296875,86,48,8,19,0.5581395348837209,9.720253825516664e-13,
1e-12,0.0037890625,86,50,8,18,0.5813953488372093,9.72435549126841e-13,
1e-12,0.0033125000000000003,86,52,8,17,0.6046511627906976,9.849132686705056e-13,
1e-12,0.00286328125,86,54,8,16,0.627906976744186,9.893963835249609e-13,
1e-12,0.0024414062500000004,86,56,8,15,0.6511627906976745,9.787888293910695e-13,
1e-12,0.0020546875,86,58,8,14,0.6744186046511628,9.93867452262537e-13,
1e-12,0.0016953125000000002,86,60,8,13,0.6976744186046512,9.799408713126537e-13,
1e-12,0.00137109375,86,62,8,12,0.7209302325581395,9.83374602334881e-13,
1e-12,0.001080078125,86,64,8,11,0.7441860465116279,9.836704765879477e-13,
1e-12,0.0008242187500000001,86,66,8,10,0.7674418604651163,9.912389006651529e-13,
1e-12,0.0006035156250000001,86,68,8,9,0.7906976744186046,9.977153899747542e-13,
1e-12,0.00041845703125000005,86,70,8,8,0.813953488372093,9.974962623922815e-13,
1e-12,0.00026953125,86,72,8,7,0.8372093023255814,9.881188402662682e-13,
1e-12,0.00015722656249999998,86,74,8,6,0.8604651162790697,9.96516515711519e-13,
1e-12,7.897949218749999e-05,86,76,8,5,0.8837209302325582,9.988199478885237e-13,
1e-12,3.13720703125e-05,86,78,8,4,0.9069767441860465,9.91324185306585e-13,
1e-12,8.392333984375e-06,86,80,8,3,0.9302325581395349,9.991761348511897e-13,
1e-12,1.02996826171875e-06,86,82,8,2,0.9534883720930233,9.981067852039989e-13,
1e-12,1.9162893295288083e-08,86,84,8,1,0.9767441860465116,9.988222559811127e-13,
1e-12,1e-12,86,86,8,0,1.0,1e-12,no_fec
