label,top,N,K,GF_WIDTH,CLK_NS,area,wns,total_dyn_mw
N86_K44_GF8_TT2T042_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,44,8,2.000000,557.305917,1213.725952,0.606141
N86_K46_GF8_TT2T040_CLK2.000ns_TT_rs_decoder,rs_decoder,86,46,8,2.000000,3420.132592,14.505127,1.926049
N86_K50_GF8_TT2T036_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,50,8,2.000000,769.459495,1010.736267,1.106671
N86_K52_GF8_TT2T034_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,52,8,2.000000,451.294738,1384.281494,0.488242
N86_K54_GF8_TT2T032_CLK2.000ns_TT_rs_decoder,rs_decoder,86,54,8,2.000000,3036.299518,39.126465,1.654268
N86_K58_GF8_TT2T028_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,58,8,2.000000,601.833236,1145.339844,0.864085
N86_K60_GF8_TT2T026_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,60,8,2.000000,348.082918,1230.935303,0.377093
N86_K62_GF8_TT2T024_CLK2.000ns_TT_rs_decoder,rs_decoder,86,62,8,2.000000,2655.834424,35.394897,1.366271
N86_K66_GF8_TT2T020_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,66,8,2.000000,436.568937,1131.822144,0.628198
N86_K68_GF8_TT2T018_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,68,8,2.000000,242.888219,1285.920166,0.263175
N86_K70_GF8_TT2T016_CLK2.000ns_TT_rs_decoder,rs_decoder,86,70,8,2.000000,2274.72781,82.603394,1.081887
N86_K74_GF8_TT2T012_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,74,8,2.000000,264.437458,1278.294189,0.375709
N86_K76_GF8_TT2T010_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,76,8,2.000000,134.850419,1455.760742,0.142225
N86_K78_GF8_TT2T008_CLK2.000ns_TT_rs_decoder,rs_decoder,86,78,8,2.000000,1892.965096,109.294556,0.793222
N86_K82_GF8_TT2T004_CLK2.000ns_TT_rs_encoder_wrapper,rs_encoder_wrapper,86,82,8,2.000000,96.067619,1332.523193,0.134839
N86_K84_GF8_TT2T002_CLK2.000ns_TT_rs_syndrome,rs_syndrome,86,84,8,2.000000,31.59486,1543.66333,0.030091
