target_post_BER,target_label,input_preFEC_BER,N,K,t,rate,m,total_pj_per_bit,enc_CLK_NS,enc_total_dyn_mw,enc_pj_per_bit,CLK_NS,total_dyn_mw,fclk_hz,throughput_bps,pj_per_bit
1e-15,1e-15,0.00059375,86,64,11,0.7441860465116279,8,1.10823066875,0.8,1.721232,0.23129055,0.8,3.263033,1250000000.0,3720930232.5581393,0.87694011875
1e-15,1e-15,0.00078515625,86,62,12,0.7209302325581395,8,1.2083607548387096,0.8,1.854128,0.25718549677419356,0.8,3.428655,1250000000.0,3604651162.7906976,0.9511752580645162
1e-15,1e-15,0.001005859375,86,60,13,0.6976744186046512,8,1.3225517166666665,0.8,2.014243,0.2887081633333333,0.8,3.606431,1250000000.0,3488372093.023256,1.0338435533333332
1e-15,1e-15,0.0012558593749999,86,58,14,0.6744186046511628,8,1.4416381655172414,0.8,2.159988,0.3202740827586207,0.8,3.781344,1250000000.0,3372093023.255814,1.1213640827586207
1e-15,1e-15,0.00153515625,86,56,15,0.6511627906976745,8,1.5723645678571427,0.8,2.321001,0.35643943928571425,0.8,3.958826,1250000000.0,3255813953.4883723,1.2159251285714285
1e-15,1e-15,0.00183984375,86,54,16,0.627906976744186,8,1.7029247000000003,0.8,2.453465,0.39073701851851855,0.8,4.119659,1250000000.0,3139534883.72093,1.3121876814814817
1e-15,1e-15,0.00217578125,86,52,17,0.6046511627906976,8,1.8495376653846152,0.8,2.643149,0.4371361807692308,0.8,4.270051,1250000000.0,3023255813.9534883,1.4124014846153845
1e-15,1e-15,0.0025390624999999,86,50,18,0.5813953488372093,8,2.002095136,0.8,2.762816,0.475204352,0.8,4.438636,1250000000.0,2906976744.1860466,1.526890784
1e-15,1e-15,0.0029296875,86,48,19,0.5581395348837209,8,2.1861130125,0.8,2.926363,0.5243067041666666,0.8,4.637599,1250000000.0,2790697674.418605,1.6618063083333332
1e-15,1e-15,0.00334375,86,46,20,0.5348837209302325,8,2.371204152173913,0.8,3.078499,0.5755454652173914,0.8,4.802343,1250000000.0,2674418604.6511626,1.7956586869565219
1e-15,1e-15,0.00378125,86,44,21,0.5116279069767442,8,2.574129718181818,0.8,3.176384,0.6208386909090909,0.8,4.996791,1250000000.0,2558139534.883721,1.9532910272727273
1e-15,1e-15,0.00425,86,42,22,0.4883720930232558,8,2.818231057142857,0.8,3.379278,0.6919474,0.8,5.192088,1250000000.0,2441860465.116279,2.126283657142857
1e-15,1e-15,0.0047421875,86,40,23,0.4651162790697674,8,3.059070955,0.8,3.518393,0.7564544950000001,0.8,5.354922,1250000000.0,2325581395.348837,2.3026164600000003
1e-12,1e-12,1e-12,86,86,0,1.0,8,0.0,1.0,0.0,0.0,1.0,0.0,1000000000.0,4000000000.0,0.0
1e-12,1e-12,1.9162893295288083e-08,86,84,1,0.9767441860465116,8,0.3132195761904762,0.8,0.17975,0.01840297619047619,0.8,1.439802,1250000000.0,4883720930.232558,0.2948166
1e-12,1e-12,1.02996826171875e-06,86,82,2,0.9534883720930232,8,0.37210050000000006,0.8,0.337133,0.0353578512195122,0.8,1.605401,1250000000.0,4767441860.465116,0.3367426487804879
1e-12,1e-12,8.392333984375e-06,86,80,3,0.9302325581395348,8,0.4354794900000001,0.8,0.472574,0.05080170500000001,0.8,1.789199,1250000000.0,4651162790.697674,0.38467778500000005
1e-12,1e-12,3.13720703125e-05,86,78,4,0.9069767441860463,8,0.5064756102564103,0.8,0.62158,0.06853317948717949,0.8,1.986018,1250000000.0,4534883720.930232,0.43794243076923084
1e-12,1e-12,7.897949218749999e-05,86,76,5,0.8837209302325582,8,0.578907755263158,0.8,0.777517,0.08798218684210526,0.8,2.169206,1250000000.0,4418604651.16279,0.49092556842105267
1e-12,1e-12,0.0001572265624999,86,74,6,0.8604651162790697,8,0.6538626486486486,0.8,0.939386,0.1091718864864865,0.8,2.343437,1250000000.0,4302325581.395349,0.5446907621621622
1e-12,1e-12,0.00026953125,86,72,7,0.8372093023255814,8,0.7329496916666666,0.8,1.080801,0.129095675,0.8,2.527761,1250000000.0,4186046511.6279073,0.6038540166666666
1e-12,1e-12,0.00041845703125,86,70,8,0.813953488372093,8,0.8220563085714285,0.8,1.253064,0.15394786285714285,0.8,2.719046,1250000000.0,4069767441.860465,0.6681084457142857
1e-12,1e-12,0.000603515625,86,68,9,0.7906976744186046,8,0.9103445264705882,0.8,1.402969,0.17743431470588236,0.8,2.897552,1250000000.0,3953488372.0930233,0.7329102117647058
1e-12,1e-12,0.00082421875,86,66,10,0.7674418604651163,8,1.0037533,0.8,1.569481,0.2045081303030303,0.8,3.066871,1250000000.0,3837209302.3255816,0.7992451696969697
1e-12,1e-12,0.001080078125,86,64,11,0.7441860465116279,8,1.10823066875,0.8,1.721232,0.23129055,0.8,3.263033,1250000000.0,3720930232.5581393,0.87694011875
1e-12,1e-12,0.00137109375,86,62,12,0.7209302325581395,8,1.2083607548387096,0.8,1.854128,0.25718549677419356,0.8,3.428655,1250000000.0,3604651162.7906976,0.9511752580645162
1e-12,1e-12,0.0016953125,86,60,13,0.6976744186046512,8,1.3225517166666665,0.8,2.014243,0.2887081633333333,0.8,3.606431,1250000000.0,3488372093.023256,1.0338435533333332
1e-12,1e-12,0.0020546875,86,58,14,0.6744186046511628,8,1.4416381655172414,0.8,2.159988,0.3202740827586207,0.8,3.781344,1250000000.0,3372093023.255814,1.1213640827586207
1e-12,1e-12,0.00244140625,86,56,15,0.6511627906976745,8,1.5723645678571427,0.8,2.321001,0.35643943928571425,0.8,3.958826,1250000000.0,3255813953.4883723,1.2159251285714285
1e-12,1e-12,0.00286328125,86,54,16,0.627906976744186,8,1.7029247000000003,0.8,2.453465,0.39073701851851855,0.8,4.119659,1250000000.0,3139534883.72093,1.3121876814814817
1e-12,1e-12,0.0033125,86,52,17,0.6046511627906976,8,1.8495376653846152,0.8,2.643149,0.4371361807692308,0.8,4.270051,1250000000.0,3023255813.9534883,1.4124014846153845
1e-12,1e-12,0.0037890625,86,50,18,0.5813953488372093,8,2.002095136,0.8,2.762816,0.475204352,0.8,4.438636,1250000000.0,2906976744.1860466,1.526890784
1e-12,1e-12,0.004296875,86,48,19,0.5581395348837209,8,2.1861130125,0.8,2.926363,0.5243067041666666,0.8,4.637599,1250000000.0,2790697674.418605,1.6618063083333332
1e-12,1e-12,0.0048359375,86,46,20,0.5348837209302325,8,2.371204152173913,0.8,3.078499,0.5755454652173914,0.8,4.802343,1250000000.0,2674418604.6511626,1.7956586869565219
1e-12,1e-12,0.0053984375,86,44,21,0.5116279069767442,8,2.574129718181818,0.8,3.176384,0.6208386909090909,0.8,4.996791,1250000000.0,2558139534.883721,1.9532910272727273
1e-12,1e-12,0.0059921875,86,42,22,0.4883720930232558,8,2.818231057142857,0.8,3.379278,0.6919474,0.8,5.192088,1250000000.0,2441860465.116279,2.126283657142857
1e-12,1e-12,0.006609375,86,40,23,0.4651162790697674,8,3.059070955,0.8,3.518393,0.7564544950000001,0.8,5.354922,1250000000.0,2325581395.348837,2.3026164600000003
