tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable,m_bits
ASAP7,9.999999999999999e-26,0.0003486328125,86,15,0.6511627906976745,0.6420110110573655,0.21329441322833156,8
ASAP7,9.999999999999999e-26,0.00026025390625,86,14,0.6744186046511628,0.5962610120940909,0.16395930711665274,8
ASAP7,9.999999999999999e-26,0.000187744140625,86,13,0.6976744186046512,0.556594417775497,0.12118431948511912,8
ASAP7,9.999999999999999e-26,0.000129638671875,86,12,0.7209302325581395,0.523350033259864,0.08533480528047846,8
ASAP7,9.999999999999999e-26,8.49609375e-05,86,11,0.7441860465116279,0.49687015964819015,0.056779889344754315,8
ASAP7,9.999999999999999e-26,5.2062988281250006e-05,86,10,0.7674418604651163,0.4768457571408242,0.03518631459261279,8
ASAP7,9.999999999999999e-26,2.923583984375e-05,86,9,0.7906976744186046,0.4626828910481495,0.019913603830619082,8
ASAP7,9.999999999999999e-26,1.46484375e-05,86,8,0.813953488372093,0.4535152731986844,0.010027583947695169,8
ASAP7,9.999999999999999e-26,6.278991699218751e-06,86,7,0.8372093023255814,0.44821377295900316,0.00431064224709051,8
ASAP7,9.999999999999999e-26,2.155303955078125e-06,86,6,0.8604651162790697,0.4455904537157946,0.0014817518391935158,8
ASAP7,9.999999999999999e-26,5.340576171875e-07,86,5,0.8837209302325582,0.4445570469727508,0.0003673642440043077,8
ASAP7,9.999999999999999e-26,7.855892181396483e-08,86,4,0.9069767441860463,0.44426649809042135,5.4047079738163656e-05,8
ASAP7,9.999999999999999e-26,4.70876693725586e-09,86,3,0.9302325581395348,0.44421938273747075,3.2396264052960107e-06,8
ASAP7,9.999999999999999e-26,4.7788489609956745e-11,86,2,0.9534883720930232,0.44421640901901,3.2878446097702426e-08,8
ASAP7,9.999999999999999e-26,6.046718681318453e-15,86,1,0.9767441860465116,0.4442163785336155,4.124700581070774e-12,8
ASAP7,9.999999999999999e-26,9.999999999999999e-26,86,0,1.0,0.0,0.0,8
ASAP7,1e-20,0.00280859375,86,23,0.4651162790697674,1.2376228916140903,0.8555802273161266,8
ASAP7,1e-20,0.00246875,86,22,0.4883720930232558,1.2022413305800397,0.8174260610305064,8
ASAP7,1e-20,0.0021484375,86,21,0.5116279069767442,1.1603921471948078,0.7722974501062769,8
ASAP7,1e-20,0.00185546875,86,20,0.5348837209302325,1.1131339245951761,0.7213359314300962,8
ASAP7,1e-20,0.001583984375,86,19,0.5581395348837209,1.0599648638663792,0.6640003836190643,8
ASAP7,1e-20,0.0013359374999999,86,18,0.5813953488372093,1.0018923457944142,0.6013771288392631,8
ASAP7,1e-20,0.001109375,86,17,0.6046511627906976,0.9394563649048226,0.5340484772069992,8
ASAP7,1e-20,0.0009062499999999,86,16,0.627906976744186,0.8745785090089853,0.46408659791846135,8
ASAP7,1e-20,0.0007255859375,86,15,0.6511627906976745,0.8087465012211343,0.3930957965336207,8
ASAP7,1e-20,0.0005673828125,86,14,0.6744186046511628,0.7439868406696015,0.3232613747311008,8
ASAP7,1e-20,0.000431640625,86,13,0.6976744186046512,0.6825224072232476,0.2569804039139366,8
ASAP7,1e-20,0.0003173828124999,86,12,0.7209302325581395,0.6261508002725183,0.19619134875280783,8
